contributors
"[{'contributors_names': ['AKD-01', 'srivastavaritik', 'rayyan016', 'tajmalnas', 'abhi03ruchi', 'heyhimansh', 'S-ishita', 'tuhinaww', 'bhaskarkumar1', 'manaver', 'harshit-002', 'shruti8302', 'Monson2002', 'Rishav1707', 'Sukhendu2002', 'gSayak', 'sachdevavaibhav', 'Akanksha-202', 'Ayan-M-Dev', 'Iamdivyak', 'GurleenSingh201', 'HimanshuNarware', 'mhr1812', 'nidhiparab', 'rishabhchaudhary0210', 'rt-001', 'Yashshukla11', 'abhinav-m22', 'Ahtaxam', 'akankshachanana1'], 'contributions_count': [94, 71, 12, 5, 5, 5, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}]"
"[{'contributors_names': ['luchanos', 'AnthonyEvseev'], 'contributions_count': [35, 1]}]"
"[{'contributors_names': ['morleydragon', 'LYK-kunkun'], 'contributions_count': [95, 24]}]"
"[{'contributors_names': ['acorn1010'], 'contributions_count': [138]}]"
"[{'contributors_names': ['rohailaltaf', 'panicpanicpanic', 'timothywoo'], 'contributions_count': [286, 123, 12]}]"
"[{'contributors_names': ['iAsure', 'Voroniyx', 'PabloRNC'], 'contributions_count': [42, 3, 2]}]"
"[{'contributors_names': ['jcs'], 'contributions_count': [18]}]"
"[{'contributors_names': ['ademidun'], 'contributions_count': [120]}]"
"[{'contributors_names': ['bukaleyang'], 'contributions_count': [62]}]"
"[{'contributors_names': ['geocine'], 'contributions_count': [74]}]"
"[{'contributors_names': ['rounit08'], 'contributions_count': [65]}]"
"[{'contributors_names': ['ColeStrickler'], 'contributions_count': [12]}]"
"[{'contributors_names': ['RishikeshOps', 'SavitaShelar1799'], 'contributions_count': [77, 1]}]"
"[{'contributors_names': ['john-smilga'], 'contributions_count': [1]}]"
"[{'contributors_names': ['afandiazmi'], 'contributions_count': [35]}]"
"[{'contributors_names': ['ngjunya', 'codedaily123'], 'contributions_count': [6, 1]}]"
"[{'contributors_names': ['hungrybluedev'], 'contributions_count': [121]}]"
"[{'contributors_names': ['Rehan-Ahmad', 'narges1998akl'], 'contributions_count': [17, 9]}]"
"[{'contributors_names': ['hsndmr'], 'contributions_count': [16]}]"
"[{'contributors_names': ['RussianPanda95'], 'contributions_count': [55]}]"
"[{'contributors_names': ['yatharthgarg'], 'contributions_count': [7]}]"
"[{'contributors_names': ['Steady-WJ'], 'contributions_count': [64]}]"
"[{'contributors_names': ['hoblin'], 'contributions_count': [69]}]"
"[{'contributors_names': ['I5UCC'], 'contributions_count': [492]}]"
"[{'contributors_names': ['maretaayu'], 'contributions_count': [10]}]"
"[{'contributors_names': ['Tariqu'], 'contributions_count': [1]}]"
"[{'contributors_names': ['Arjun-Ingole'], 'contributions_count': [121]}]"
"[{'contributors_names': ['He0306'], 'contributions_count': [25]}]"
"[{'contributors_names': ['abarcomb-work'], 'contributions_count': [24]}]"
"[{'contributors_names': ['bshall', 'tarepan'], 'contributions_count': [12, 2]}]"
"[{'contributors_names': ['leeford'], 'contributions_count': [5]}]"
